cell,instrument,tenor_family,auction_date,cusip,security_term,original_security_term,remaining_term_days,reopening,announcemt_date,issue_date,offering_amt,t0_is_trading_day,valid_window,exclusion_reason,pre_open,pre_close,post_open,post_close,t0_index,iso_year,iso_week,calendar_month,qra_in_window,qra_signed,ann_in_window,ann_signed,ovl_2Year,ovl_3Year,ovl_5Year,ovl_7Year,ovl_10Year,ovl_20Year,ovl_30Year,ovl_TIPS,ovl_FRN
SECONDARY,IEF,10-Year,2014-04-09,912828B66,9-Year 10-Month,10-Year,3599,Yes,2014-04-03,2014-04-15,21000000000,YES,YES,,2014-04-01,2014-04-08,2014-04-09,2014-04-16,2944,2014,15,2014-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-05-07,912828WJ5,10-Year,10-Year,3661,No,2014-04-30,2014-05-15,24000000000,YES,YES,,2014-04-29,2014-05-06,2014-05-07,2014-05-14,2963,2014,19,2014-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-06-11,912828WJ5,9-Year 11-Month,10-Year,3626,Yes,2014-06-05,2014-06-16,21000000000,YES,YES,,2014-06-03,2014-06-10,2014-06-11,2014-06-18,2987,2014,24,2014-06,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-07-09,912828WJ5,9-Year 10-Month,10-Year,3598,Yes,2014-07-03,2014-07-15,21000000000,YES,YES,,2014-06-30,2014-07-08,2014-07-09,2014-07-16,3006,2014,28,2014-07,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-08-13,912828D56,10-Year,10-Year,3655,No,2014-08-06,2014-08-15,24000000000,YES,YES,,2014-08-05,2014-08-12,2014-08-13,2014-08-20,3031,2014,33,2014-08,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-09-10,912828D56,9-Year 11-Month,10-Year,3627,Yes,2014-09-04,2014-09-15,21000000000,YES,YES,,2014-09-02,2014-09-09,2014-09-10,2014-09-17,3050,2014,37,2014-09,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-10-08,912828D56,9-Year 10-Month,10-Year,3599,Yes,2014-10-02,2014-10-15,21000000000,YES,YES,,2014-09-30,2014-10-07,2014-10-08,2014-10-15,3070,2014,41,2014-10,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-11-12,912828G38,10-Year,10-Year,3656,No,2014-11-05,2014-11-17,24000000000,YES,YES,,2014-11-04,2014-11-11,2014-11-12,2014-11-19,3095,2014,46,2014-11,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2014-12-10,912828G38,9-Year 11-Month,10-Year,3628,Yes,2014-12-04,2014-12-15,21000000000,YES,YES,,2014-12-02,2014-12-09,2014-12-10,2014-12-17,3114,2014,50,2014-12,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-01-13,912828G38,9-Year 10-Month,10-Year,3594,Yes,2015-01-08,2015-01-15,21000000000,YES,YES,,2015-01-05,2015-01-12,2015-01-13,2015-01-21,3136,2015,3,2015-01,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-02-11,912828J27,10-Year,10-Year,3657,No,2015-02-04,2015-02-17,24000000000,YES,YES,,2015-02-03,2015-02-10,2015-02-11,2015-02-19,3156,2015,7,2015-02,YES,-1,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2015-03-11,912828J27,9-Year 11-Month,10-Year,3629,Yes,2015-03-05,2015-03-16,21000000000,YES,YES,,2015-03-03,2015-03-10,2015-03-11,2015-03-18,3175,2015,11,2015-03,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-04-08,912828J27,9-Year 10-Month,10-Year,3601,Yes,2015-04-02,2015-04-15,21000000000,YES,YES,,2015-03-30,2015-04-07,2015-04-08,2015-04-15,3194,2015,15,2015-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-05-13,912828XB1,10-Year,10-Year,3655,No,2015-05-06,2015-05-15,24000000000,YES,YES,,2015-05-05,2015-05-12,2015-05-13,2015-05-20,3219,2015,20,2015-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-06-10,912828XB1,9-Year 11-Month,10-Year,3627,Yes,2015-06-04,2015-06-15,21000000000,YES,YES,,2015-06-02,2015-06-09,2015-06-10,2015-06-17,3238,2015,24,2015-06,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-07-08,912828XB1,9-Year 10-Month,10-Year,3599,Yes,2015-07-02,2015-07-15,21000000000,YES,YES,,2015-06-29,2015-07-07,2015-07-08,2015-07-15,3257,2015,28,2015-07,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-08-12,912828K74,10-Year,10-Year,3656,No,2015-08-05,2015-08-17,24000000000,YES,YES,,2015-08-04,2015-08-11,2015-08-12,2015-08-19,3282,2015,33,2015-08,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-09-09,912828K74,9-Year 11-Month,10-Year,3628,Yes,2015-09-03,2015-09-15,21000000000,YES,YES,,2015-08-31,2015-09-08,2015-09-09,2015-09-16,3301,2015,37,2015-09,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-10-07,912828K74,9-Year 10-Month,10-Year,3600,Yes,2015-10-01,2015-10-15,21000000000,YES,YES,,2015-09-29,2015-10-06,2015-10-07,2015-10-14,3321,2015,41,2015-10,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-11-10,912828M56,10-Year,10-Year,3658,No,2015-11-04,2015-11-16,24000000000,YES,YES,,2015-11-02,2015-11-09,2015-11-10,2015-11-17,3345,2015,46,2015-11,YES,-1,YES,-1,0,1,1,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2015-12-09,912828M56,9-Year 11-Month,10-Year,3629,Yes,2015-12-03,2015-12-15,21000000000,YES,YES,,2015-12-01,2015-12-08,2015-12-09,2015-12-16,3365,2015,50,2015-12,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-01-13,912828M56,9-Year 10-Month,10-Year,3594,Yes,2016-01-07,2016-01-15,21000000000,YES,YES,,2016-01-05,2016-01-12,2016-01-13,2016-01-21,3388,2016,2,2016-01,NO,0,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2016-02-10,912828P46,10-Year,10-Year,3658,No,2016-02-03,2016-02-16,23000000000,YES,YES,,2016-02-02,2016-02-09,2016-02-10,2016-02-18,3407,2016,6,2016-02,YES,-1,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2016-03-09,912828P46,9-Year 11-Month,10-Year,3630,Yes,2016-03-03,2016-03-15,20000000000,YES,YES,,2016-03-01,2016-03-08,2016-03-09,2016-03-16,3426,2016,10,2016-03,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-04-13,912828P46,9-Year 10-Month,10-Year,3595,Yes,2016-04-07,2016-04-15,20000000000,YES,YES,,2016-04-05,2016-04-12,2016-04-13,2016-04-20,3450,2016,15,2016-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-05-11,912828R36,10-Year,10-Year,3656,No,2016-05-04,2016-05-16,23000000000,YES,YES,,2016-05-03,2016-05-10,2016-05-11,2016-05-18,3470,2016,19,2016-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-06-08,912828R36,9-Year 11-Month,10-Year,3628,Yes,2016-06-02,2016-06-15,20000000000,YES,YES,,2016-05-31,2016-06-07,2016-06-08,2016-06-15,3489,2016,23,2016-06,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-07-12,912828R36,9-Year 10-Month,10-Year,3594,Yes,2016-07-07,2016-07-15,20000000000,YES,YES,,2016-07-01,2016-07-11,2016-07-12,2016-07-19,3512,2016,28,2016-07,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-08-10,9128282A7,10-Year,10-Year,3657,No,2016-08-03,2016-08-15,23000000000,YES,YES,,2016-08-02,2016-08-09,2016-08-10,2016-08-17,3533,2016,32,2016-08,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-09-12,9128282A7,9-Year 11-Month,10-Year,3624,Yes,2016-09-08,2016-09-15,20000000000,YES,YES,,2016-09-01,2016-09-09,2016-09-12,2016-09-19,3555,2016,37,2016-09,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-10-12,9128282A7,9-Year 10-Month,10-Year,3594,Yes,2016-10-06,2016-10-17,20000000000,YES,YES,,2016-10-04,2016-10-11,2016-10-12,2016-10-19,3577,2016,41,2016-10,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-11-09,912828U24,10-Year,10-Year,3658,No,2016-11-02,2016-11-15,23000000000,YES,YES,,2016-11-01,2016-11-08,2016-11-09,2016-11-16,3597,2016,45,2016-11,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2016-12-12,912828U24,9-Year 11-Month,10-Year,3625,Yes,2016-12-08,2016-12-15,20000000000,YES,YES,,2016-12-02,2016-12-09,2016-12-12,2016-12-19,3619,2016,50,2016-12,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-01-11,912828U24,9-Year 10-Month,10-Year,3595,Yes,2017-01-05,2017-01-17,20000000000,YES,YES,,2017-01-03,2017-01-10,2017-01-11,2017-01-19,3639,2017,2,2017-01,NO,0,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2017-02-08,912828V98,10-Year,10-Year,3659,No,2017-02-01,2017-02-15,23000000000,YES,YES,,2017-01-31,2017-02-07,2017-02-08,2017-02-15,3658,2017,6,2017-02,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-03-08,912828V98,9-Year 11-Month,10-Year,3631,Yes,2017-03-02,2017-03-15,20000000000,YES,YES,,2017-02-28,2017-03-07,2017-03-08,2017-03-15,3677,2017,10,2017-03,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-04-11,912828V98,9-Year 10-Month,10-Year,3597,Yes,2017-04-06,2017-04-17,20000000000,YES,YES,,2017-04-03,2017-04-10,2017-04-11,2017-04-19,3701,2017,15,2017-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-05-10,912828X88,10-Year,10-Year,3657,No,2017-05-03,2017-05-15,23000000000,YES,YES,,2017-05-02,2017-05-09,2017-05-10,2017-05-17,3721,2017,19,2017-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-06-12,912828X88,9-Year 11-Month,10-Year,3624,Yes,2017-06-08,2017-06-15,20000000000,YES,YES,,2017-06-02,2017-06-09,2017-06-12,2017-06-19,3743,2017,24,2017-06,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-07-12,912828X88,9-Year 10-Month,10-Year,3594,Yes,2017-07-06,2017-07-17,20000000000,YES,YES,,2017-07-03,2017-07-11,2017-07-12,2017-07-19,3764,2017,28,2017-07,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-08-09,9128282R0,10-Year,10-Year,3658,No,2017-08-02,2017-08-15,23000000000,YES,YES,,2017-08-01,2017-08-08,2017-08-09,2017-08-16,3784,2017,32,2017-08,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-09-12,9128282R0,9-Year 11-Month,10-Year,3624,Yes,2017-09-07,2017-09-15,20000000000,YES,YES,,2017-09-01,2017-09-11,2017-09-12,2017-09-19,3807,2017,37,2017-09,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-10-11,9128282R0,9-Year 10-Month,10-Year,3595,Yes,2017-10-05,2017-10-16,20000000000,YES,YES,,2017-10-03,2017-10-10,2017-10-11,2017-10-18,3828,2017,41,2017-10,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-11-08,9128283F5,10-Year,10-Year,3659,No,2017-11-01,2017-11-15,23000000000,YES,YES,,2017-10-31,2017-11-07,2017-11-08,2017-11-15,3848,2017,45,2017-11,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2017-12-11,9128283F5,9-Year 11-Month,10-Year,3626,Yes,2017-12-07,2017-12-15,20000000000,YES,YES,,2017-12-01,2017-12-08,2017-12-11,2017-12-18,3870,2017,50,2017-12,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-01-10,9128283F5,9-Year 10-Month,10-Year,3596,Yes,2018-01-04,2018-01-16,20000000000,YES,YES,,2018-01-02,2018-01-09,2018-01-10,2018-01-18,3890,2018,2,2018-01,NO,0,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2018-02-07,9128283W8,10-Year,10-Year,3660,No,2018-01-31,2018-02-15,24000000000,YES,YES,,2018-01-30,2018-02-06,2018-02-07,2018-02-14,3909,2018,6,2018-02,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-03-12,9128283W8,9-Year 11-Month,10-Year,3627,Yes,2018-03-08,2018-03-15,21000000000,YES,YES,,2018-03-02,2018-03-09,2018-03-12,2018-03-19,3931,2018,11,2018-03,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-04-11,9128283W8,9-Year 10-Month,10-Year,3597,Yes,2018-04-05,2018-04-16,21000000000,YES,YES,,2018-04-03,2018-04-10,2018-04-11,2018-04-18,3952,2018,15,2018-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-05-09,9128284N7,10-Year,10-Year,3659,No,2018-05-02,2018-05-15,25000000000,YES,YES,,2018-05-01,2018-05-08,2018-05-09,2018-05-16,3972,2018,19,2018-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-06-11,9128284N7,9-Year 11-Month,10-Year,3626,Yes,2018-06-07,2018-06-15,22000000000,YES,YES,,2018-06-01,2018-06-08,2018-06-11,2018-06-18,3994,2018,24,2018-06,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-07-11,9128284N7,9-Year 10-Month,10-Year,3596,Yes,2018-07-05,2018-07-16,22000000000,YES,YES,,2018-07-02,2018-07-10,2018-07-11,2018-07-18,4015,2018,28,2018-07,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-08-08,9128284V9,10-Year,10-Year,3660,No,2018-08-01,2018-08-15,26000000000,YES,YES,,2018-07-31,2018-08-07,2018-08-08,2018-08-15,4035,2018,32,2018-08,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-09-12,9128284V9,9-Year 11-Month,10-Year,3625,Yes,2018-09-06,2018-09-17,23000000000,YES,YES,,2018-09-04,2018-09-11,2018-09-12,2018-09-19,4059,2018,37,2018-09,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-10-10,9128284V9,9-Year 10-Month,10-Year,3597,Yes,2018-10-04,2018-10-15,23000000000,YES,YES,,2018-10-02,2018-10-09,2018-10-10,2018-10-17,4079,2018,41,2018-10,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-11-06,9128285M8,10-Year,10-Year,3662,No,2018-10-31,2018-11-15,27000000000,YES,YES,,2018-10-29,2018-11-05,2018-11-06,2018-11-13,4098,2018,45,2018-11,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2018-12-12,9128285M8,9-Year 11-Month,10-Year,3626,Yes,2018-12-06,2018-12-17,24000000000,YES,YES,,2018-12-03,2018-12-11,2018-12-12,2018-12-19,4122,2018,50,2018-12,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-01-09,9128285M8,9-Year 10-Month,10-Year,3598,Yes,2019-01-03,2019-01-15,24000000000,YES,YES,,2018-12-31,2019-01-08,2019-01-09,2019-01-16,4140,2019,2,2019-01,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-02-06,9128286B1,10-Year,10-Year,3662,No,2019-01-30,2019-02-15,27000000000,YES,YES,,2019-01-29,2019-02-05,2019-02-06,2019-02-13,4159,2019,6,2019-02,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-03-12,9128286B1,9-Year 11-Month,10-Year,3628,Yes,2019-03-07,2019-03-15,24000000000,YES,YES,,2019-03-04,2019-03-11,2019-03-12,2019-03-19,4182,2019,11,2019-03,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-04-10,9128286B1,9-Year 10-Month,10-Year,3599,Yes,2019-04-04,2019-04-15,24000000000,YES,YES,,2019-04-02,2019-04-09,2019-04-10,2019-04-17,4203,2019,15,2019-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-05-08,9128286T2,10-Year,10-Year,3660,No,2019-05-01,2019-05-15,27000000000,YES,YES,,2019-04-30,2019-05-07,2019-05-08,2019-05-15,4222,2019,19,2019-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-06-12,9128286T2,9-Year 11-Month,10-Year,3625,Yes,2019-06-06,2019-06-17,24000000000,YES,YES,,2019-06-04,2019-06-11,2019-06-12,2019-06-19,4246,2019,24,2019-06,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-06-21,9128286T2,9-Year 11-Month,10-Year,3616,Yes,2019-06-21,2019-06-26,25000000,YES,YES,,2019-06-13,2019-06-20,2019-06-21,2019-06-28,4253,2019,25,2019-06,NO,0,NO,0,1,0,1,1,0,0,0,1,1
SECONDARY,IEF,10-Year,2019-07-10,9128286T2,9-Year 10-Month,10-Year,3597,Yes,2019-07-03,2019-07-15,24000000000,YES,YES,,2019-07-01,2019-07-09,2019-07-10,2019-07-17,4265,2019,28,2019-07,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-08-07,912828YB0,10-Year,10-Year,3661,No,2019-07-31,2019-08-15,27000000000,YES,YES,,2019-07-30,2019-08-06,2019-08-07,2019-08-14,4285,2019,32,2019-08,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-09-11,912828YB0,9-Year 11-Month,10-Year,3626,Yes,2019-09-05,2019-09-16,24000000000,YES,YES,,2019-09-03,2019-09-10,2019-09-11,2019-09-18,4309,2019,37,2019-09,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-10-09,912828YB0,9-Year 10-Month,10-Year,3598,Yes,2019-10-03,2019-10-15,24000000000,YES,YES,,2019-10-01,2019-10-08,2019-10-09,2019-10-16,4329,2019,41,2019-10,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2019-11-06,912828YS3,10-Year,10-Year,3662,No,2019-10-30,2019-11-15,27000000000,YES,YES,,2019-10-29,2019-11-05,2019-11-06,2019-11-13,4349,2019,45,2019-11,YES,-1,YES,-1,0,0,0,0,1,0,1,0,0
SECONDARY,IEF,10-Year,2019-12-10,912828YS3,9-Year 11-Month,10-Year,3628,Yes,2019-12-05,2019-12-16,24000000000,YES,YES,,2019-12-02,2019-12-09,2019-12-10,2019-12-17,4372,2019,50,2019-12,NO,0,YES,-1,0,1,0,0,0,0,1,0,1
SECONDARY,IEF,10-Year,2020-01-08,912828YS3,9-Year 10-Month,10-Year,3599,Yes,2020-01-02,2020-01-15,24000000000,YES,YES,,2019-12-30,2020-01-07,2020-01-08,2020-01-15,4391,2020,2,2020-01,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-02-12,912828Z94,10-Year,10-Year,3656,No,2020-02-05,2020-02-18,27000000000,YES,YES,,2020-02-04,2020-02-11,2020-02-12,2020-02-20,4415,2020,7,2020-02,YES,-1,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2020-03-11,912828Z94,9-Year 11-Month,10-Year,3628,Yes,2020-03-05,2020-03-16,24000000000,YES,YES,,2020-03-03,2020-03-10,2020-03-11,2020-03-18,4434,2020,11,2020-03,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-04-07,912828Z94,9-Year 10-Month,10-Year,3601,Yes,2020-04-02,2020-04-15,25000000000,YES,YES,,2020-03-30,2020-04-06,2020-04-07,2020-04-15,4453,2020,15,2020-04,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-05-12,912828ZQ6,10-Year,10-Year,3655,No,2020-05-06,2020-05-15,32000000000,YES,YES,,2020-05-04,2020-05-11,2020-05-12,2020-05-19,4477,2020,20,2020-05,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-06-09,912828ZQ6,9-Year 11-Month,10-Year,3627,Yes,2020-06-04,2020-06-15,29000000000,YES,YES,,2020-06-01,2020-06-08,2020-06-09,2020-06-16,4496,2020,24,2020-06,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-07-08,912828ZQ6,9-Year 10-Month,10-Year,3598,Yes,2020-07-02,2020-07-15,29000000000,YES,YES,,2020-06-29,2020-07-07,2020-07-08,2020-07-15,4516,2020,28,2020-07,NO,0,YES,-1,0,1,0,0,0,0,1,1,0
SECONDARY,IEF,10-Year,2020-08-12,91282CAE1,10-Year,10-Year,3655,No,2020-08-05,2020-08-17,38000000000,YES,YES,,2020-08-04,2020-08-11,2020-08-12,2020-08-19,4541,2020,33,2020-08,YES,-1,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2020-09-09,91282CAE1,9-Year 11-Month,10-Year,3627,Yes,2020-09-03,2020-09-15,35000000000,YES,YES,,2020-08-31,2020-09-08,2020-09-09,2020-09-16,4560,2020,37,2020-09,NO,0,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2020-10-07,91282CAE1,9-Year 10-Month,10-Year,3599,Yes,2020-10-01,2020-10-15,35000000000,YES,YES,,2020-09-29,2020-10-06,2020-10-07,2020-10-14,4580,2020,41,2020-10,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-11-10,91282CAV3,10-Year,10-Year,3657,No,2020-11-04,2020-11-16,41000000000,YES,YES,,2020-11-02,2020-11-09,2020-11-10,2020-11-17,4604,2020,46,2020-11,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2020-12-09,91282CAV3,9-Year 11-Month,10-Year,3628,Yes,2020-12-03,2020-12-15,38000000000,YES,YES,,2020-12-01,2020-12-08,2020-12-09,2020-12-16,4624,2020,50,2020-12,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2021-01-12,91282CAV3,9-Year 10-Month,10-Year,3594,Yes,2021-01-07,2021-01-15,38000000000,YES,YES,,2021-01-04,2021-01-11,2021-01-12,2021-01-20,4646,2021,2,2021-01,NO,0,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2021-02-10,91282CBL4,10-Year,10-Year,3657,No,2021-02-03,2021-02-16,41000000000,YES,YES,,2021-02-02,2021-02-09,2021-02-10,2021-02-18,4666,2021,6,2021-02,YES,-1,YES,-1,0,1,0,0,0,1,1,1,0
SECONDARY,IEF,10-Year,2021-03-10,91282CBL4,9-Year 11-Month,10-Year,3629,Yes,2021-03-04,2021-03-15,38000000000,YES,YES,,2021-03-02,2021-03-09,2021-03-10,2021-03-17,4685,2021,10,2021-03,NO,0,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2021-04-12,91282CBL4,9-Year 10-Month,10-Year,3596,Yes,2021-04-08,2021-04-15,38000000000,YES,YES,,2021-04-01,2021-04-09,2021-04-12,2021-04-19,4707,2021,15,2021-04,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2021-05-12,91282CCB5,10-Year,10-Year,3655,No,2021-05-05,2021-05-17,41000000000,YES,YES,,2021-05-04,2021-05-11,2021-05-12,2021-05-19,4729,2021,19,2021-05,YES,-1,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2021-06-09,91282CCB5,9-Year 11-Month,10-Year,3627,Yes,2021-06-03,2021-06-15,38000000000,YES,YES,,2021-06-01,2021-06-08,2021-06-09,2021-06-16,4748,2021,23,2021-06,NO,0,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2021-07-12,91282CCB5,9-Year 10-Month,10-Year,3594,Yes,2021-07-08,2021-07-15,38000000000,YES,YES,,2021-07-01,2021-07-09,2021-07-12,2021-07-19,4770,2021,28,2021-07,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2021-08-11,91282CCS8,10-Year,10-Year,3656,No,2021-08-04,2021-08-16,41000000000,YES,YES,,2021-08-03,2021-08-10,2021-08-11,2021-08-18,4792,2021,32,2021-08,YES,-1,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2021-09-08,91282CCS8,9-Year 11-Month,10-Year,3628,Yes,2021-09-02,2021-09-15,38000000000,YES,YES,,2021-08-30,2021-09-07,2021-09-08,2021-09-15,4811,2021,36,2021-09,NO,0,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2021-10-12,91282CCS8,9-Year 10-Month,10-Year,3594,Yes,2021-10-07,2021-10-15,38000000000,YES,YES,,2021-10-04,2021-10-11,2021-10-12,2021-10-19,4835,2021,41,2021-10,NO,0,YES,-1,0,0,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2021-11-09,91282CDJ7,10-Year,10-Year,3658,No,2021-11-03,2021-11-15,39000000000,YES,YES,,2021-11-01,2021-11-08,2021-11-09,2021-11-16,4855,2021,45,2021-11,YES,-1,YES,-1,0,1,0,0,0,0,1,0,0
SECONDARY,IEF,10-Year,2021-12-08,91282CDJ7,9-Year 11-Month,10-Year,3629,Yes,2021-12-02,2021-12-15,36000000000,YES,YES,,2021-11-30,2021-12-07,2021-12-08,2021-12-15,4875,2021,49,2021-12,NO,0,YES,-1,0,1,0,0,0,1,1,0,0
SECONDARY,IEF,10-Year,2022-01-12,91282CDJ7,9-Year 10-Month,10-Year,3594,Yes,2022-01-06,2022-01-18,36000000000,YES,YES,,2022-01-04,2022-01-11,2022-01-12,2022-01-20,4899,2022,2,2022-01,NO,0,YES,-1,0,1,0,0,0,1,1,1,0
