regime,months_xsmom,cum_return_xsmom,ann_return_xsmom,sharpe_xsmom,months_tsmom,cum_return_tsmom,ann_return_tsmom,sharpe_tsmom
GFC 2008,7,0.32671592887383216,0.6235903987982245,2.2393195642742643,7,0.11575604138248252,0.20655543602359017,1.8901452563189773
Mom-crash 2009,4,-0.24865959955052064,-0.5758590293181707,-3.591666104002709,4,-0.04488420169241625,-0.12869925372652935,-3.923905210248518
COVID 2020,3,0.17280740195654865,0.89193753345302,4.4542393529486715,3,0.07283564177298008,0.324746475983948,1.5377988060125731
Calm 2012-2019,96,0.33655674232107335,0.03692757814108871,0.3401152371758004,96,0.7028837732755646,0.068804136361023,0.7287067488706312
