,sharpe,lo,hi,crosses_0
rank baseline,0.2964261066995205,-0.15513741684676788,0.7706222305767226,True
within-class,0.3176238525690647,-0.1322474775646998,0.7833859819487836,True
demeaned signal,0.13927694482626332,-0.3159575895271941,0.6028881661973197,True
