spread,h,delta_ann,mean_flat_ann,mean_steep_ann,t_hac,p_raw,n_flat,n_steep,boot_lo_ann,boot_hi_ann,boot_crosses_0,_delta_hday,n_episodes,delta_full_ann,binding_episode,delta_after_drop_ann,jk_sign_preserved,jk_magnitude_ok,pass_jackknife,largest_episode,delta_drop_largest_ann,delta_drop_2022_24_ann,n_same_sign_episodes,pass_2episode,H_label,mag_ok,contemp_ann,skip_ann,skip_sign_preserved,p_fdr,fdr_reject,g1_sig,g2_mag,g4_event,g5_predictive,CONFIRMED
10Y-3M,21,-0.019072262252280692,0.07477899239288978,0.09385125464517052,-0.42210283363485496,0.6729499597276577,2021,1616,-0.10827591161305244,0.06903914900226707,True,-0.0015893551876900577,13,-0.019072262252280734,#10 2022-07-14..2024-04-05,-0.005021995828478586,True,False,False,#9 2017-02-08..2020-03-10 n=763,-0.03513612573668813,-0.005021995828478586,8,True,H- (flat->lower),False,-0.04109169980868366,-0.029574750201613723,True,0.6729499597276577,False,False,False,False,True,False
10Y-3M,63,-0.03094605003398908,0.06507679540747742,0.09602284544146665,-0.7269955396300509,0.46722868813769103,2021,1574,-0.12133055951443902,0.045521053866901855,True,-0.00773651250849727,13,-0.03094605003398923,#10 2022-07-14..2024-04-05,-0.014857805848092098,True,False,False,#9 2017-02-08..2020-03-10 n=763,-0.05463215386410349,-0.014857805848092098,8,True,H- (flat->lower),False,-0.05251841592498209,-0.04833949066112055,True,0.6160476095694669,False,False,False,False,True,False
10Y-3M,126,-0.04611435665858237,0.05931588736455347,0.10543024402313618,-1.279387097598058,0.20076077509523182,2021,1511,-0.11521422750450665,0.03085271761854434,True,-0.023057178329291186,13,-0.04611435665858271,#10 2022-07-14..2024-04-05,-0.03156216394273252,True,False,False,#9 2017-02-08..2020-03-10 n=763,-0.06833615097113221,-0.03156216394273252,10,True,H- (flat->lower),True,-0.06056634374922405,-0.04729419572380563,True,0.6022823252856955,False,False,True,False,True,False
10Y-2Y,21,-0.026593977151712186,0.05439534119189786,0.08098931834360991,-0.6535946251264453,0.5133730079745558,2050,1732,-0.10603740865290665,0.053198280541017426,True,-0.002216164762642682,12,-0.02659397715171205,#8 2022-03-07..2023-10-16,-0.016204318264155585,True,False,False,#6 2017-02-08..2019-12-16 n=711,-0.03708124996537474,-0.016204318264155585,9,True,H- (flat->lower),False,-0.011691416061324563,-0.03981401454195213,True,0.6160476095694669,False,False,False,False,True,False
10Y-2Y,63,-0.03537782210049757,0.04594631453065105,0.08132413663114854,-0.9218344629074435,0.35661492820633833,2050,1692,-0.1177016725153461,0.03437201822438655,True,-0.008844455525124393,12,-0.03537782210049749,#8 2022-03-07..2023-10-16,-0.017147984856885665,True,False,False,#6 2017-02-08..2019-12-16 n=711,-0.053426682744981954,-0.017147984856885665,8,True,H- (flat->lower),False,-0.02746330528692678,-0.04723922264610558,True,0.6160476095694669,False,False,False,False,True,False
10Y-2Y,126,-0.048693105499910024,0.045987351357835424,0.09468045685774541,-1.3533404654097199,0.1759468873742599,2050,1629,-0.11459864813759676,0.029969798571713457,True,-0.024346552749955012,12,-0.04869310549990999,#8 2022-03-07..2023-10-16,-0.029427778610020952,True,False,False,#6 2017-02-08..2019-12-16 n=711,-0.07049146094282695,-0.029427778610020952,8,True,H- (flat->lower),True,-0.055608769858034326,-0.0509832886807914,True,0.6022823252856955,False,False,True,False,True,False
