effect,scope,prior_sign,delta_bps,t_hac,p_raw,mean_eff_bps,mean_non_bps,n_eff,n_non,boot_lo_bps,boot_hi_bps,boot_crosses_0,H1_bps,H2_bps,T1_bps,T2_bps,T3_bps,delta_winsor_bps,share_top1_eff_day,loo_min_bps,loo_max_bps,loo_min_year,loo_max_year,drop_top2_bps,drop_top2_years,years_positive,years_total,p_bh,fdr_reject,pass_fdr,pass_sign,pass_magnitude,pass_stable,pass_concentration,CONFIRMED
E1_TOM,Pooled,1,1.3530305700208556,0.5816774324045363,0.5607839752959645,2.6957784694174363,1.342747899396582,924,3895,-3.161515321904555,5.997946910861681,True,0.4919265821914583,2.2216238623174154,4.273505688796443,-4.414089368560779,4.15095835555438,1.3469366390891215,-0.3584883527692171,,,,,,,,,0.7764701196405662,False,False,True,False,True,False,False
E1_TOM,Equity,1,0.5466096596553874,0.13609503736211684,0.8917461506388663,4.189749541962513,3.643139882307132,924,3895,-7.2016056428116135,8.462648903379725,True,-0.7712823783290188,1.8756556006716312,4.636567954778719,-6.059567106090515,3.0093021823778296,1.2254031154487603,-1.6550783638784277,,,,,,,,,0.9442018065587997,False,False,True,False,False,False,False
E1_TOM,Bond,1,1.1062345671870597,0.7243940064001283,0.4688238784339387,2.461007993984519,1.3547734267974554,924,3895,-1.8507994507821164,4.178563185669907,True,0.02072998790888554,2.1912986064754025,2.3343228765774233,-1.5539320295823007,2.5222994784001123,0.7595137323702523,0.2533682661120424,,,,,,,,,0.7671663465282633,False,False,True,False,True,False,False
E1_TOM,Commodity,1,1.5318685195308612,0.3125700383071025,0.7546073442491815,0.5707837256093109,-0.9610847939215451,924,3895,-8.080736349085075,11.234375799444843,True,-0.3484383893730163,3.4351545223772857,3.819816306312975,-8.882978088517095,9.550410440287465,1.7866466162211856,-0.6044906652564537,,,,,,,,,0.9442018065587997,False,False,True,False,False,False,False
E1_TOM,FX,1,0.15102754258366685,0.14062455244089284,0.8881665509350638,0.22401006144170724,0.0729825188580404,924,3895,-1.9206516682819017,2.3201878835681287,True,-0.8501762543100815,1.1532401524501865,-2.7865075721530004,1.5300941986669219,1.7218797838630395,0.33267783546914176,1.1121914426135273,,,,,,,,,0.9442018065587997,False,False,True,False,False,False,False
E1_TOM,RealEstate,1,4.707001980019306,0.9725854528030451,0.3307593755440219,6.152149634512565,1.4451476544932533,924,3895,-4.764815691593942,14.416485183960782,True,7.615174951688285,1.7885174178633858,15.211607674195182,-3.0271158300084555,1.8925909450294616,4.971424814300288,-0.3163097941739916,,,,,,,,,0.6937631399016553,False,False,True,False,True,True,False
E2_Halloween,Pooled,1,1.6586242419460049,0.877218613601702,0.38036790782792795,2.450593718673644,0.7919694767276425,2354,2465,-2.067902733729583,5.2958167725726195,True,,,,,,,,0.3420924285009062,2.3944664696464373,2008.0,2009.0,-0.13627052058007505,"[2008, 2026]",12.0,20.0,0.6937631399016553,False,False,True,False,True,False,False
E2_Halloween,Equity,1,3.5528612546734872,1.1311154053321413,0.2580065210729924,5.56529599732927,2.0124347426557962,2354,2465,-2.714833426812846,9.648472411708306,True,,,,,,,,2.1642540055475035,4.404994229917177,2008.0,2025.0,2.827768106788961,"[2008, 2007]",12.0,20.0,0.6937631399016553,False,False,True,False,True,False,False
E2_Halloween,Bond,1,0.6953757281281285,0.6122142808335155,0.5403959942961216,1.9225804220073954,1.2272046938792598,2354,2465,-1.5340145351333911,2.921867999494482,True,,,,,,,,-0.31235430297627587,1.2552723649618975,2008.0,2009.0,-1.381065755989655,"[2008, 2023]",9.0,20.0,0.7764701196405662,False,False,True,False,False,False,False
E2_Halloween,Commodity,1,0.11570725608636757,0.033052045158666575,0.9736330842544083,-0.6081765352995495,-0.7238837913859131,2354,2465,-6.903402959746049,6.696611713611431,True,,,,,,,,-1.8698768760030704,2.511303371601988,2008.0,2020.0,1.218146764929027,"[2026, 2020]",10.0,20.0,0.9736330842544084,False,False,True,False,False,False,False
E2_Halloween,FX,1,-1.0632591632975361,-1.2536180572479765,0.20998086468548272,-0.44193434940946713,0.6213248138880691,2354,2465,-2.724261802390878,0.5790572617644387,True,,,,,,,,-1.2545441375951867,-0.7700209544598723,2015.0,2012.0,-0.4463544000437795,"[2012, 2008]",10.0,20.0,0.6937631399016553,False,False,False,False,False,False,False
E2_Halloween,RealEstate,1,4.657246114725864,1.168252489419841,0.2427049334869077,4.729933191396576,0.07268707667070726,2354,2465,-3.289162508591289,12.51125814843412,True,,,,,,,,2.635009510139634,6.087558406567612,2008.0,2024.0,1.1517752238706713,"[2008, 2023]",15.0,20.0,0.6937631399016553,False,False,True,False,True,False,False
E3_Monday,Pooled,-1,-4.393040837011413,-1.5643422543532264,0.1177372139928592,-1.8792530779529362,2.5137877590584794,1000,3819,-9.967711102539322,1.1554074042603812,True,-4.51872938677482,-4.266945368956545,-2.1148467742441914,-7.6538091808735,-3.4130642715481856,-3.6486684864318257,-0.16052054922120182,,,,,,,,,0.6937631399016553,False,False,True,False,True,True,False
E3_Monday,Equity,-1,-4.6266115734557065,-0.8679458693188691,0.3854239666120307,0.08141291125384281,4.708024484709556,1000,3819,-15.187428544385595,5.971257725235138,True,-5.702804907657842,-3.5499185540131526,-5.540872945572128,-5.910342372410371,-2.420895137775661,-3.869229712968661,-0.353333993412788,,,,,,,,,0.6937631399016553,False,False,True,False,True,True,False
E3_Monday,Bond,-1,-3.41064168110777,-2.2198694863289177,0.026427628365288468,-1.1360088599985008,2.2746328211092655,1000,3819,-6.393136931561788,-0.4299941389870612,False,0.7939244440833727,-7.615100750719599,3.9913051459433833,-3.819569876229464,-10.42261853266088,-3.3629150943141695,-0.11812978078738826,,,,,,,,,0.47569731057519243,False,False,True,False,False,True,False
E3_Monday,Commodity,-1,-4.253589741492391,-0.8823566019894054,0.37758399642032936,-4.038281870226361,0.21530787126602427,1000,3819,-13.76141024677923,5.080150997797646,True,-8.495822127630946,-0.010309346294898585,0.7196938624743076,-19.633112010470256,6.147939113335819,-3.05726763094711,0.2000522216947603,,,,,,,,,0.6937631399016553,False,False,True,False,False,True,False
E3_Monday,FX,-1,-0.16094904293021153,-0.1472615044382176,0.882925616164052,-0.025609501395781886,0.13533954153442962,1000,3819,-2.3181966469953044,1.9552557514247384,True,3.076811396849646,-3.398553988330428,5.543556840400679,-1.2769612905165733,-4.7631087908660135,-0.4306736438838518,-1.510643367735563,,,,,,,,,0.9442018065587997,False,False,True,False,False,False,False
E3_Monday,RealEstate,-1,-10.284906292827225,-1.760320577148632,0.07835346717855111,-5.8029924788890535,4.481913813938173,1000,3819,-22.149931570020904,1.0616308220463653,True,-11.825203548195837,-8.74486506873832,-19.089570074381363,-2.099197042482819,-9.64634083420427,-7.3264450376762715,0.13379578185745034,,,,,,,,,0.6937631399016553,False,False,True,True,True,True,False
