date,vol_pctile_SPY,vol_pctile_EEM,vol_pctile_EWJ,vol_pctile_XLE,vol_pctile_XLU,vol_pctile_TLT,vol_pctile_SHY,vol_pctile_LQD,vol_pctile_HYG,vol_pctile_USO,vol_pctile_UNG,vol_pctile_GLD,vol_pctile_DBA,vol_pctile_UUP,vol_pctile_FXY,vol_pctile_VNQ,vol_pctile_RWX,er_SPY,er_EEM,er_EWJ,er_XLE,er_XLU,er_TLT,er_SHY,er_LQD,er_HYG,er_USO,er_UNG,er_GLD,er_DBA,er_UUP,er_FXY,er_VNQ,er_RWX,port_vol,port_vol_pctile,cross_asset_dispersion
1996-06-20,0.731481,,,,,,,,,,,,,,,,,0.077153,,0.106383,,,,,,,,,,,,,,,0.088571,0.403439,0.015546
1996-06-21,0.724868,,,,,,,,,,,,,,,,,0.094554,,0.136842,,,,,,,,,,,,,,,0.089945,0.421958,0.024562
1996-06-24,0.719577,,,,,,,,,,,,,,,,,0.106342,,0.072165,,,,,,,,,,,,,,,0.091182,0.445767,0.014846
1996-06-25,0.712963,,,,,,,,,,,,,,,,,0.08893,,0.061225,,,,,,,,,,,,,,,0.091361,0.449735,0.018424
1996-06-26,0.694444,,,,,,,,,,,,,,,,,0.096134,,0.051546,,,,,,,,,,,,,,,0.090739,0.437831,0.018923
1996-06-27,0.702381,,,,,,,,,,,,,,,,,0.105608,,0.051546,,,,,,,,,,,,,,,0.090476,0.435185,0.009224
1996-06-28,0.706349,,,,,,,,,,,,,,,,,0.132053,,0.031579,,,,,,,,,,,,,,,0.090094,0.428571,0.007507
1996-07-01,0.72619,,,,,,,,,,,,,,,,,0.125029,,0.020834,,,,,,,,,,,,,,,0.090148,0.431217,0.006748
1996-07-02,0.642857,,,,,,,,,,,,,,,,,0.106349,,0.030929,,,,,,,,,,,,,,,0.084766,0.361111,0.000867
1996-07-03,0.641534,,,,,,,,,,,,,,,,,0.098948,,0.010526,,,,,,,,,,,,,,,0.084013,0.357143,0.00156
